source,count
dailymail.co.uk,11329
independent.co.uk,10350
theguardian.com,4336
thesun.co.uk,3145
mirror.co.uk,1973
express.co.uk,1602
standard.co.uk,1600
metro.co.uk,1447
expressandstar.com,1393
shropshirestar.com,1372
dailystar.co.uk,1113
dailyrecord.co.uk,933
manchestereveningnews.co.uk,878
belfasttelegraph.co.uk,844
liverpoolecho.co.uk,795
walesonline.co.uk,692
telegraph.co.uk,689
guernseypress.com,682
birminghammail.co.uk,651
heraldscotland.com,647
sky.com,639
jerseyeveningpost.com,629
chroniclelive.co.uk,553
scotsman.com,499
hulldailymail.co.uk,426
theuknews.com,339
economist.com,306
thenorthernecho.co.uk,289
britainnews.net,267
unitedkingdomnews.net,266
socialistworker.co.uk,207
gazettelive.co.uk,194
gbnews.com,189
huffingtonpost.co.uk,186
hellomagazine.com,185
espn.co.uk,182
devonlive.com,177
inews.co.uk,176
ibtimes.co.uk,170
newstatesman.com,169
plymouthherald.co.uk,151
coventrytelegraph.net,146
newsletter.co.uk,145
theargus.co.uk,134
nottinghampost.com,130
lep.co.uk,124
cityam.com,120
kentonline.co.uk,115
blackpoolgazette.co.uk,113
leicestermercury.co.uk,104
northamptonchron.co.uk,102
oxfordmail.co.uk,102
sussexexpress.co.uk,102
grimsbytelegraph.co.uk,100
portsmouth.co.uk,99
prnewswire.co.uk,99
cornwalllive.com,95
echo-news.co.uk,93
dailyecho.co.uk,86
inyourarea.co.uk,86
morningstaronline.co.uk,86
burnleyexpress.net,79
derbytelegraph.co.uk,77
northantstelegraph.co.uk,76
falkirkherald.co.uk,73
worcesternews.co.uk,71
eveningexpress.co.uk,70
fifetoday.co.uk,68
lancasterguardian.co.uk,67
derbyshiretimes.co.uk,66
ft.com,64
miltonkeynes.co.uk,63
thescarboroughnews.co.uk,63
theweek.co.uk,63
somersetlive.co.uk,60
lancashiretelegraph.co.uk,59
harrogateadvertiser.co.uk,58
worksopguardian.co.uk,58
chad.co.uk,56
hartlepoolmail.co.uk,56
daventryexpress.co.uk,53
peterboroughtoday.co.uk,53
lutontoday.co.uk,52
dorsetecho.co.uk,50
buxtonadvertiser.co.uk,48
hucknalldispatch.co.uk,48
channel4.com,46
northumberlandgazette.co.uk,44
yorkpress.co.uk,44
fleetwoodtoday.co.uk,43
kentlive.news,41
lythamstannesexpress.co.uk,41
chorley-guardian.co.uk,40
clitheroeadvertiser.co.uk,40
hampshirechronicle.co.uk,39
gazetteseries.co.uk,38
wscountytimes.co.uk,38
pendletoday.co.uk,37
swindonadvertiser.co.uk,37
bucksherald.co.uk,36
