paper,covid_period,n,mean,median,std
Daily Mail,COVID,1228,-0.7350657980456026,-0.99235,0.5998288763467144
Daily Mail,Post-COVID,664,-0.6766536144578313,-0.992,0.6714818826670705
Daily Mail,Pre-COVID,61,-0.8567688524590165,-0.995,0.458902742979012
Evening Standard,COVID,134,-0.4302955223880597,-0.6731,0.5546878084038176
Evening Standard,Post-COVID,182,-0.42848351648351646,-0.6638999999999999,0.577331215920258
Evening Standard,Pre-COVID,7,0.29822857142857145,0.6249,0.7336269117980103
The Guardian,COVID,272,-0.8206007352941176,-0.9891,0.4755508756694817
The Guardian,Post-COVID,258,-0.6790744186046511,-0.98255,0.6435912325954923
The Guardian,Pre-COVID,17,-0.768164705882353,-0.9872,0.5140453700078141
